Periodo,Regiao ,Instituicao,No Total de Partos,No Cesarianas
2014-10,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",463,125
2014-09,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1711,451
2014-09,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",407,156
2014-10,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",1513,456
2014-10,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",1839,474
2014-10,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",657,188
2014-10,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2014-10,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-09,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",3626,1057
2013-09,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",761,201
2013-09,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",282,78
2013-09,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1259,380
2013-08,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",1492,407
2013-08,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",782,242
2013-09,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-09,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2013-09,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-09,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-06,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",382,127
2013-06,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",699,294
2013-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",595,156
2013-06,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",1812,536
2013-06,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",624,257
2013-06,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",1211,318
2013-06,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",1102,312
2013-06,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",764,241
2013-06,Regiao de Saude LVT,"Hospital de Cascais, PPP",1118,359
2013-06,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-07,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",337,119
2013-07,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",2122,621
2013-07,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1948,629
2013-07,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",1411,368
2013-07,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",627,184
2013-07,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",897,274
2013-07,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",447,126
2013-07,Regiao de Saude LVT,Centro Hospitalar do Oeste,949,275
2013-08,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2013-07,Regiao de Saude LVT,Instituto Gama Pinto,,
2013-08,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",3156,921
2013-08,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",1273,379
2013-08,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1547,505
2013-08,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",2448,707
2013-08,Regiao de Saude LVT,"Hospital de Loures, PPP",1368,301
2013-08,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-08,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-08,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2013-08,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-08,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2013-11,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",1270,512
2013-12,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",1127,433
2013-11,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",1287,389
2013-11,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",2255,582
2013-11,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",2628,971
2013-12,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-05,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",227,79
2013-04,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",548,204
2015-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",471,124
2015-06,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2015-06,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",230,71
2015-06,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1133,327
2015-06,Regiao de Saude LVT,Centro Hospitalar do Oeste,666,202
2015-06,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2015-06,Regiao de Saude LVT,"Hospital de Cascais, PPP",1234,330
2015-06,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",1293,376
2015-06,Regiao de Saude Norte,"Hospital de Braga, PPP",1339,383
2015-06,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2015-06,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",689,174
2015-07,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",557,140
2015-07,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2015-07,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1320,384
2015-07,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",718,279
2015-07,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2015-07,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-08,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2015-08,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",227,51
2015-08,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",922,269
2015-08,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1505,438
2015-08,Regiao de Saude LVT,"Hospital de Loures, PPP",1593,348
2015-08,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",1753,504
2015-08,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",814,314
2015-08,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",959,277
2015-08,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",1127,355
2015-08,Regiao de Saude Norte,"Hospital de Braga, PPP",1813,521
2015-08,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",943,239
2015-08,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",315,134
2015-09,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",756,173
2015-09,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",2674,671
2015-09,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",440,135
2015-09,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",3689,1045
2015-09,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1779,499
2015-09,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",576,157
2015-09,Regiao de Saude LVT,Instituto Gama Pinto,,
2015-09,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",1805,530
2015-09,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",1088,288
2015-10,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",1600,481
2015-10,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",4133,1167
2015-10,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2015-10,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",2903,818
2015-10,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",1015,286
2015-10,Regiao de Saude LVT,Instituto Gama Pinto,,
2015-10,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",1163,434
2015-10,Regiao de Saude Norte,"Hospital de Braga, PPP",2307,664
2015-10,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2015-10,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2015-11,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",510,160
2015-11,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1550,329
2015-11,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2015-11,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2015-11,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",505,170
2015-11,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",3159,892
2015-11,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1499,435
2015-11,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2015-11,Regiao de Saude LVT,"Hospital de Loures, PPP",2288,487
2015-11,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",2870,785
2015-11,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2015-11,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2015-11,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",439,189
2015-12,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",1054,246
2015-12,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",551,171
2015-12,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",1940,584
2015-12,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",4949,1390
2015-12,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2015-12,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",2363,638
2015-12,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",801,214
2015-12,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",2503,731
2015-12,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",3112,849
2015-12,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",1545,428
2015-12,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",761,263
2015-12,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",2358,612
2015-12,Regiao de Saude Norte,"Hospital de Braga, PPP",2783,812
2016-01,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",140,38
2016-01,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2016-01,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2016-01,Regiao de Saude do Centro,"Unidade Local de Saude de Castelo Branco, EPE",31,8
2016-01,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",195,48
2016-01,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2016-01,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",133,29
2016-01,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",106,38
2016-02,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",204,57
2016-02,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",95,35
2016-02,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",272,61
2016-02,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2016-02,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2016-02,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2016-02,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",236,80
2016-02,Regiao de Saude LVT,"Hospital de Loures, PPP",414,90
2016-02,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",261,68
2016-02,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",439,129
2016-02,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",518,137
2016-02,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",107,37
2016-02,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",261,73
2016-02,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",218,67
2016-03,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2016-03,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",408,95
2016-03,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2016-03,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2013-02,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",89,37
2013-04,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",198,67
2013-04,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1098,361
2013-04,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",781,206
2013-03,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",301,100
2013-04,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",511,152
2013-04,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",943,340
2013-03,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",182,54
2013-04,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-03,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2013-07,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",428,140
2013-07,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",814,341
2013-07,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",939,355
2013-07,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",943,233
2013-07,Regiao de Saude Norte,"Centro Hospitalar do Alto Ave, EPE",1121,333
2013-07,Regiao de Saude LVT,"Hospital Distrital de Santarem, EPE",672,215
2013-07,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",1517,566
2013-07,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",1430,334
2013-07,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2013-07,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2013-04,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",481,209
2013-05,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",598,255
2013-05,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",241,89
2013-05,Regiao de Saude Norte,"Unidade Local de Saude de Matosinhos, EPE",589,171
2013-05,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",917,269
2013-05,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",420,119
2013-04,Regiao de Saude Norte,"Hospital de Braga, PPP",796,251
2013-04,Regiao de Saude Norte,"Instituto Portugues Oncologia do Porto, EPE",,
2013-05,Regiao de Saude do Centro,Hospital Jose Luciano de Castro,,
2013-04,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2013-02,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",391,134
2013-02,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Central, EPE",614,186
2013-02,Regiao de Saude Norte,"Centro Hospitalar do Alto Ave, EPE",320,109
2013-02,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",127,38
2013-02,Regiao de Saude Norte,"Hospital de Braga, PPP",408,133
2013-03,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-02,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2013-01,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2013-02,Regiao de Saude do Centro,Hospital Arcebispo Joao Crisostomo,,
2013-02,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2013-11,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",2119,672
2013-11,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",2133,577
2013-11,Regiao de Saude Norte,"Centro Hospitalar do Medio Ave, EPE",1160,461
2013-11,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",1468,442
2013-11,Regiao de Saude LVT,Centro Hospitalar do Oeste,1464,406
2013-11,Regiao de Saude Norte,"Hospital de Braga, PPP",2372,723
2013-05,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",323,108
2013-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",272,97
2013-06,Regiao de Saude do Alentejo,"Hospital Espirito Santo de Evora, EPE",537,187
2013-05,Regiao de Saude Norte,"Unidade Local de Saude do Alto Minho, EPE",590,177
2013-06,Regiao de Saude do Centro,"Centro Hospitalar Cova da Beira, EPE",298,93
2013-06,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",762,272
2013-06,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",371,103
2013-06,Regiao de Saude do Centro,Centro Medicina de Reabilitacao da Regiao Centro Rovisco Pais,,
2013-06,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2013-06,Regiao de Saude do Centro,"Instituto Portugues Oncologia de Coimbra, EPE",,
2013-12,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",1355,542
2013-12,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",1663,612
2013-12,Regiao de Saude Norte,"Centro Hospitalar Tamega e Sousa, EPE",2354,628
2013-12,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",2452,639
2013-12,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",1164,350
2013-12,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",2647,945
2013-12,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2013-12,Regiao de Saude LVT,Instituto Gama Pinto,,
2014-03,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",170,49
2014-03,Regiao de Saude Norte,"Centro Hospitalar Tras-os-Montes e Alto Douro, EPE",269,90
2014-04,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",504,120
2014-03,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",129,51
2014-03,Regiao de Saude Norte,"Centro Hospitalar do Alto Ave, EPE",466,170
2014-03,Regiao de Saude LVT,Centro Hospitalar do Oeste,348,93
2014-03,Regiao de Saude Norte,"Hospital de Braga, PPP",583,179
2014-04,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2014-03,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2014-04,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",1421,388
2014-04,Regiao de Saude Norte,"Centro Hospitalar Povoa de Varzim/Vila do Conde, EPE",222,70
2014-04,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",195,78
2014-05,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",631,153
2014-04,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",791,225
2014-05,Regiao de Saude do Centro,"Centro Hospitalar de Leiria, EPE",680,224
2014-04,Regiao de Saude Norte,"Centro Hospitalar do Porto, EPE",822,245
2014-04,Regiao de Saude LVT,"Centro Hospitalar Medio Tejo, EPE",237,64
2014-04,Regiao de Saude LVT,"Hospital Fernando da Fonseca, EPE",787,247
2014-04,Regiao de Saude LVT,"Hospital de Cascais, PPP",723,203
2014-06,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",280,109
2014-06,Regiao de Saude LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1081,302
2014-06,Regiao de Saude do Centro,"Centro Hospitalar Tondela-Viseu, EPE",877,237
2014-06,Regiao de Saude LVT,"Centro Hospitalar Barreiro/Montijo, EPE",716,241
2014-06,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",1589,417
2014-06,Regiao de Saude LVT,"Centro Hospitalar de Setubal, EPE",763,209
2014-06,Regiao de Saude LVT,Centro Hospitalar do Oeste,698,191
2014-06,Regiao de Saude do Centro,"Hospital Distrital da Figueira da Foz, EPE",,
2013-06,Regiao de Saude do Centro,"Centro Hospitalar e Universitario de Coimbra, EPE",2350,679
2013-10,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",851,221
2013-10,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",1389,522
2013-10,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",1466,377
2013-10,Regiao de Saude do Centro,"Unidade Local de Saude da Guarda, EPE",474,171
2013-10,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",1412,422
2013-10,Regiao de Saude LVT,"Hospital de Vila Franca de Xira, PPP",954,296
2013-10,Regiao de Saude LVT,"Hospital Garcia de Orta, EPE",2110,459
2013-10,Regiao de Saude LVT,"Hospital de Loures, PPP",1778,391
2013-01,Regiao de Saude do Algarve,"Centro Hospitalar do Algarve, EPE",307,101
2013-01,Regiao de Saude LVT,"Centro Hospitalar Lisboa Norte, EPE",208,54
2013-01,Regiao de Saude do Alentejo,"Unidade Local de Saude do Litoral Alentejano, EPE",,
2013-01,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",147,33
2013-02,Regiao de Saude do Centro,"Centro Hospitalar do Baixo Vouga, EPE",277,76
2013-01,Regiao de Saude Norte,"Unidade Local de Saude do Nordeste, EPE",36,14
2013-02,Regiao de Saude Norte,"Centro Hospitalar de Sao Joao, EPE",400,110
2013-01,Regiao de Saude LVT,"Instituto Portugues Oncologia de Lisboa, EPE",,
2013-02,Regiao de Saude LVT,Centro Hospitalar Psiquiatrico de Lisboa,,
2013-01,Regiao de Saude do Centro,Hospital Dr. Francisco Zagalo,,
2013-01,Regiao de Saude Norte,"Hospital de Magalhaes Lemos, EPE",,
2013-02,Regiao de Saude Norte,"Hospital Santa Maria Maior, EPE",,
2014-05,Regiao de Saude do Alentejo,"Unidade Local de Saude do Norte Alentejo, EPE",208,53
2014-03,Regiao de Saude do Alentejo,"Unidade Local de Saude do Baixo Alentejo, EPE",248,54
2014-02,Regiao de Saude Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",241,74
2014-04,Regiao de Saude Norte,"Centro Hospitalar Entre Douro e Vouga, EPE",528,123
